Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 750,23 Seats available,"4.3
516",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 699,33 Seats available,"4.3
348",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SAAM BUS,VE A/C Sleeper (2+1),18:40,06:45,12h 05m,INR 850,13 Seats available,"4.3
193",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,600,28 Seats available,"3.4
139",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,INR 999,13 Seats available,"4.1
291",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,INR 749,26 Seats available,"4.1
284",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,INR 900,23 Seats available,"4.2
112",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,INR 749,22 Seats available,"4.1
121",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 900,15 Seats available,"3.9
313",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,800,17 Seats available,"3.9
267",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,INR 700,27 Seats available,"3.4
88",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,INR 600,22 Seats available,"4.1
33",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Arjun Holidays,A/C Seater Push Back (2+2),21:50,02:50,05h 00m,INR 749,19 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,INR 750,35 Seats available,"3.2
28",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:05,03:15,04h 10m,899,18 Seats available,"3.8
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,02:35,03h 05m,759,24 Seats available,"4.1
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,03:10,03h 40m,759,42 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Madhavi Travels,A/C Sleeper (2+1),23:30,05:00,05h 30m,INR 899,13 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Sonia Travels,A/C Seater/Sleeper (2+1),23:30,04:29,04h 59m,INR 700,13 Seats available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Holy Maria Travels,A/C Semi Sleeper (2+2),23:30,04:00,04h 30m,INR 800,34 Seats available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Shajees Motors,A/C Semi Sleeper (2+2),19:30,00:40,05h 10m,INR 600,5 Seats available,"3.4
41",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Ubc travels,A/C Semi Sleeper (2+2),20:40,01:00,04h 20m,INR 900,25 Seats available,"3.0
11",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,02:30,05h 35m,INR 800,5 Seats available,"5.0
22",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Sheraton Tours and Travels,A/C Seater/Sleeper (2+1),21:00,01:45,04h 45m,580,18 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Jacobs Travels,A/C Semi Sleeper (2+2),21:00,02:30,05h 30m,INR 700,18 Seats available,3.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
UFO Bus,A/C Sleeper (2+1),21:15,02:45,05h 30m,789,17 Seats available,3.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,02:20,05h 05m,INR 700,13 Seats available,4.4,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Cochin Express,A/C Sleeper (2+1),21:15,02:30,05h 15m,INR 900,5 Seats available,"4.4
6",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
